#data counter step time
0 1 0 0
1 2 2 0
0 3 3 0
1 4 6 0
0 5 7 0
1 6 11 0
0 7 16 0
1 8 18 0
0 9 19 0
1 10 21 0
0 11 22 0
1 12 24 0
0 13 25 0
1 14 27 0
0 15 28 0
1 16 30 0
0 17 31 0
1 18 35 1
0 19 36 1
1 20 37 1
0 21 38 1
1 22 43 1
0 23 50 2
1 24 53 2
0 25 54 2
1 26 58 2
0 27 60 3
1 28 61 3
0 29 64 3
1 30 66 3
0 31 67 3
1 32 68 3
0 33 72 3
1 34 73 3
0 35 76 3
1 36 79 3
0 37 80 4
1 38 82 4
0 39 84 4
1 40 86 4
0 41 88 4
1 42 89 4
0 43 92 4
1 44 95 4
0 45 96 4
1 46 98 4
0 47 99 4
1 48 100 4
0 49 102 4
1 50 105 4
0 51 106 4
1 52 109 4
0 53 110 4
1 54 111 4
0 55 116 5
1 56 118 5
0 57 120 5
1 58 123 5
0 59 124 5
1 60 125 5
0 61 127 5
1 62 130 5
0 63 132 5
1 64 135 5
0 65 136 5
1 66 137 5
0 67 139 5
1 68 140 5
0 69 141 5
1 70 144 5
0 71 145 5
1 72 146 5
0 73 147 5
1 74 148 5
0 75 151 5
1 76 152 5
0 77 154 5
1 78 155 5
0 79 156 5
1 80 159 5
0 81 160 5
1 82 161 5
0 83 163 5
1 84 166 6
0 85 167 6
1 86 171 6
0 87 172 6
1 88 174 6
0 89 175 6
1 90 178 6
0 91 188 7
1 92 189 7
0 93 192 7
1 94 193 7
0 95 196 7
1 96 197 7
0 97 199 7
1 98 201 7
0 99 203 7
1 100 205 7
0 101 206 7
1 102 207 7
0 103 210 7
1 104 211 7
0 105 212 7
1 106 214 7
0 107 215 7
1 108 217 7
0 109 218 7
1 110 220 7
0 111 228 8
1 112 229 8
0 113 231 8
1 114 234 8
0 115 235 8
1 116 237 8
0 117 239 9
1 118 243 9
0 119 244 9
1 120 246 9
0 121 248 9
1 122 251 9
0 123 252 9
1 124 255 9
0 125 256 9
1 126 257 9
0 127 259 9
1 128 262 9
0 129 264 9
1 130 267 9
0 131 268 9
1 132 270 9
0 133 271 9
1 134 274 9
0 135 276 9
1 136 277 9
0 137 279 9
1 138 282 9
0 139 284 9
1 140 286 9
0 141 287 9
1 142 288 9
0 143 289 9
1 144 290 9
0 145 293 9
1 146 294 9
0 147 296 10
1 148 299 10
0 149 300 10
1 150 303 10
0 151 304 10
1 152 305 10
0 153 306 10
1 154 308 10
0 155 309 10
1 156 311 10
0 157 313 10
1 158 315 10
0 159 316 11
1 160 317 11
0 161 318 11
1 162 326 11
0 163 328 11
1 164 329 11
0 165 331 11
1 166 334 11
0 167 336 11
1 168 337 11
0 169 338 11
1 170 340 11
0 171 341 11
1 172 344 11
0 173 345 11
1 174 346 11
0 175 349 11
1 176 351 11
0 177 352 11
1 178 356 11
0 179 357 11
1 180 359 11
0 181 360 11
1 182 361 11
0 183 363 11
1 184 367 12
0 185 368 12
1 186 370 12
0 187 371 12
1 188 374 12
0 189 376 12
1 190 378 12
0 191 379 12
1 192 383 12
0 193 385 12
1 194 386 12
0 195 390 12
1 196 392 12
0 197 393 12
1 198 394 12
0 199 395 12
1 200 397 12
0 201 400 13
1 202 401 13
0 203 403 13
1 204 410 14
0 205 411 14
1 206 412 14
0 207 414 14
1 208 415 14
0 209 417 14
1 210 418 14
0 211 420 14
1 212 422 14
0 213 423 14
1 214 426 15
0 215 436 16
1 216 438 16
0 217 440 16
1 218 443 16
0 219 444 16
1 220 445 16
0 221 446 16
1 222 448 16
0 223 449 16
1 224 450 16
0 225 453 16
1 226 454 16
0 227 458 16
1 228 460 16
0 229 462 16
1 230 463 16
0 231 468 16
1 232 470 16
0 233 471 16
1 234 472 16
0 235 473 16
1 236 474 16
0 237 475 16
1 238 482 16
0 239 483 16
1 240 486 16
0 241 487 16
1 242 488 16
0 243 489 16
1 244 492 16
0 245 493 16
1 246 495 16
0 247 496 16
1 248 498 16
0 249 499 17
1 250 501 17
0 251 508 18
1 252 511 18
0 253 512 19
1 254 513 19
0 255 516 19
1 256 518 19
0 257 519 19
1 258 521 19
0 259 523 19
1 260 527 19
0 261 528 19
1 262 529 19
0 263 532 19
1 264 533 19
0 265 534 19
1 266 536 19
0 267 540 19
1 268 542 19
0 269 544 19
1 270 546 19
0 271 548 19
1 272 550 19
0 273 551 19
1 274 552 19
0 275 555 19
1 276 556 19
0 277 559 19
1 278 560 19
0 279 564 20
1 280 565 20
0 281 568 20
1 282 570 20
0 283 572 20
1 284 573 20
0 285 576 20
1 286 577 20
0 287 578 20
1 288 582 20
0 289 583 20
1 290 585 20
0 291 588 20
1 292 589 20
0 293 590 20
1 294 595 20
0 295 596 20
1 296 599 20
0 297 600 20
1 298 602 20
0 299 604 20
1 300 605 20
0 301 607 20
1 302 610 20
0 303 612 21
1 304 614 21
0 305 616 21
1 306 619 21
0 307 620 22
1 308 621 22
0 309 624 23
1 310 627 23
0 311 628 23
1 312 630 23
0 313 631 23
1 314 632 23
0 315 633 23
1 316 638 23
0 317 639 23
1 318 640 23
0 319 641 23
1 320 642 23
0 321 643 23
1 322 648 23
0 323 651 24
1 324 652 24
0 325 653 24
1 326 654 24
0 327 655 24
1 328 660 24
0 329 664 25
1 330 667 25
0 331 668 26
1 332 671 26
0 333 672 26
1 334 675 26
0 335 676 27
1 336 679 27
0 337 680 27
1 338 682 27
0 339 684 28
1 340 686 28
