#data counter step time
0 1 4 0
0 2 8 0
0 3 17 0
0 4 20 0
0 5 23 0
0 6 26 0
0 7 29 0
0 8 32 0
0 9 41 1
0 10 42 1
1 11 52 2
1 12 55 2
2 13 63 3
2 14 65 3
2 15 69 3
2 16 75 3
2 17 78 3
2 18 81 4
2 19 87 4
2 20 91 4
2 21 94 4
2 22 101 4
1 23 103 4
1 24 104 4
1 25 113 4
1 26 115 4
2 27 117 5
1 28 121 5
1 29 128 5
1 30 129 5
1 31 133 5
1 32 138 5
1 33 142 5
1 34 143 5
1 35 149 5
1 36 150 5
0 37 153 5
0 38 157 5
0 39 158 5
0 40 162 5
0 41 164 5
0 42 169 6
0 43 173 6
0 44 176 6
1 45 191 7
1 46 195 7
1 47 198 7
1 48 204 7
1 49 208 7
1 50 209 7
1 51 213 7
1 52 216 7
1 53 219 7
1 54 221 7
1 55 230 8
1 56 232 8
1 57 236 8
2 58 240 9
1 59 245 9
1 60 249 9
1 61 253 9
1 62 260 9
1 63 261 9
1 64 265 9
1 65 269 9
0 66 275 9
0 67 280 9
0 68 281 9
0 69 285 9
0 70 291 9
0 71 292 9
0 72 295 9
1 73 297 10
1 74 302 10
1 75 307 10
1 76 310 10
1 77 312 10
1 78 314 10
1 79 320 11
1 80 324 11
0 81 332 11
0 82 343 11
0 83 347 11
0 84 348 11
0 85 350 11
0 86 353 11
0 87 354 11
0 88 355 11
0 89 358 11
0 90 362 11
0 91 364 11
0 92 369 12
0 93 373 12
0 94 377 12
0 95 380 12
0 96 388 12
0 97 391 12
0 98 396 12
0 99 398 12
1 100 402 13
0 101 404 13
0 102 413 14
0 103 416 14
0 104 419 14
0 105 421 14
0 106 424 14
1 107 437 16
1 108 441 16
1 109 447 16
1 110 451 16
1 111 452 16
1 112 455 16
1 113 461 16
1 114 467 16
1 115 469 16
0 116 476 16
1 117 480 16
0 118 484 16
0 119 485 16
0 120 490 16
0 121 491 16
0 122 494 16
0 123 497 16
1 124 502 17
2 125 510 18
3 126 515 19
3 127 522 19
2 128 524 19
3 129 525 19
2 130 531 19
2 131 537 19
2 132 538 19
2 133 543 19
2 134 545 19
1 135 549 19
0 136 557 19
0 137 562 19
0 138 563 19
1 139 567 20
1 140 569 20
1 141 574 20
1 142 579 20
1 143 580 20
1 144 586 20
1 145 591 20
1 146 594 20
1 147 597 20
1 148 601 20
0 149 608 20
0 150 609 20
1 151 613 21
1 152 617 21
2 153 623 22
3 154 625 23
3 155 634 23
3 156 636 23
3 157 644 23
3 158 645 23
2 159 647 23
3 160 650 23
3 161 657 24
2 162 658 24
3 163 661 24
2 164 665 25
3 165 669 26
3 166 674 26
4 167 677 27
4 168 681 27
4 169 690 28
5 170 691 28
4 171 693 28
3 172 703 28
4 173 704 28
4 174 705 28
3 175 709 29
3 176 714 29
2 177 718 29
2 178 720 29
1 179 726 29
1 180 730 29
1 181 735 29
1 182 737 29
1 183 744 29
1 184 747 29
0 185 749 29
0 186 752 29
0 187 757 29
0 188 759 29
1 189 769 30
1 190 770 30
1 191 771 30
1 192 774 30
1 193 778 30
1 194 784 30
1 195 789 30
0 196 793 30
1 197 798 31
2 198 803 32
2 199 806 32
2 200 810 32
2 201 812 32
2 202 815 32
2 203 819 32
2 204 826 32
1 205 827 32
1 206 828 32
1 207 830 32
0 208 834 32
0 209 836 32
0 210 843 33
0 211 853 33
0 212 857 33
0 213 861 33
0 214 862 33
0 215 863 33
0 216 864 33
0 217 869 34
0 218 874 34
0 219 878 34
0 220 882 34
0 221 884 34
0 222 893 35
0 223 895 35
0 224 899 35
1 225 909 36
2 226 913 37
2 227 920 37
2 228 922 37
2 229 929 37
2 230 933 37
2 231 935 37
2 232 937 37
2 233 938 37
2 234 944 37
1 235 945 37
0 236 948 37
0 237 954 37
0 238 955 37
0 239 956 37
0 240 960 38
0 241 968 39
0 242 972 39
0 243 974 39
0 244 983 39
0 245 984 39
1 246 989 40
1 247 992 40
1 248 996 40
1 249 998 40
