#data counter step time
0 1 6 0
0 2 14 0
0 3 17 0
0 4 22 0
0 5 27 0
0 6 28 0
1 7 38 1
1 8 42 1
1 9 46 1
1 10 50 1
1 11 52 1
1 12 55 1
1 13 58 1
1 14 67 1
1 15 70 1
1 16 76 1
0 17 82 1
0 18 83 1
0 19 84 1
1 20 88 2
1 21 95 2
1 22 97 2
2 23 99 3
2 24 104 3
2 25 106 3
2 26 109 3
1 27 114 3
1 28 115 3
1 29 118 3
1 30 122 3
0 31 124 3
1 32 138 5
1 33 141 5
1 34 145 5
2 35 151 6
2 36 155 6
2 37 158 6
1 38 161 6
1 39 164 6
1 40 171 6
1 41 178 6
0 42 186 6
1 43 189 6
1 44 190 6
1 45 193 6
0 46 195 6
0 47 197 6
1 48 201 7
1 49 205 7
1 50 209 7
1 51 214 7
2 52 221 8
2 53 223 8
2 54 226 8
2 55 229 8
2 56 231 8
2 57 237 8
1 58 239 8
1 59 242 8
1 60 246 8
1 61 248 8
0 62 252 8
0 63 254 8
0 64 258 8
0 65 260 8
0 66 277 9
0 67 280 9
0 68 281 9
0 69 286 9
0 70 294 9
0 71 295 9
0 72 296 9
0 73 302 9
0 74 306 9
0 75 311 9
0 76 313 9
0 77 315 9
0 78 323 9
0 79 328 9
0 80 334 9
0 81 335 9
1 82 339 10
1 83 343 10
1 84 346 10
2 85 350 11
2 86 356 11
2 87 360 11
2 88 363 11
2 89 367 11
2 90 368 11
2 91 370 11
1 92 373 11
1 93 377 11
1 94 380 11
0 95 383 11
0 96 387 11
0 97 388 11
0 98 394 12
0 99 397 12
0 100 403 12
0 101 406 12
0 102 411 12
0 103 418 12
0 104 419 12
0 105 427 12
0 106 429 12
0 107 439 12
0 108 441 12
0 109 445 12
0 110 451 12
0 111 456 12
0 112 458 12
1 113 460 13
1 114 465 13
2 115 472 14
2 116 473 14
2 117 479 14
2 118 482 14
2 119 489 14
2 120 492 14
2 121 493 14
1 122 497 14
1 123 499 14
1 124 503 14
0 125 505 14
0 126 509 14
0 127 513 14
0 128 514 14
0 129 517 14
0 130 520 14
0 131 532 15
0 132 536 15
0 133 540 15
0 134 545 15
1 135 553 16
1 136 554 16
1 137 560 16
1 138 562 16
1 139 565 16
1 140 568 16
1 141 577 16
1 142 578 16
2 143 585 17
2 144 586 17
1 145 588 17
1 146 595 17
1 147 599 17
1 148 600 17
2 149 603 18
2 150 609 18
2 151 615 18
2 152 617 18
1 153 621 18
1 154 629 18
1 155 632 18
0 156 633 18
0 157 639 18
0 158 649 18
0 159 653 18
0 160 654 18
0 161 658 18
0 162 659 18
1 163 663 19
1 164 666 19
2 165 669 20
2 166 676 20
2 167 677 20
2 168 680 20
2 169 683 20
2 170 685 20
2 171 689 20
2 172 692 20
1 173 695 20
1 174 699 20
0 175 700 20
0 176 707 21
1 177 719 22
2 178 721 23
2 179 726 23
2 180 730 23
2 181 734 23
2 182 737 23
2 183 740 23
2 184 743 23
3 185 749 24
3 186 752 24
1 187 756 24
2 188 760 24
1 189 761 24
2 190 763 25
2 191 769 25
1 192 775 25
0 193 792 25
1 194 793 25
0 195 794 25
0 196 796 25
0 197 797 25
0 198 801 25
1 199 804 26
1 200 808 26
1 201 817 26
1 202 818 26
1 203 822 26
1 204 825 26
1 205 830 26
1 206 833 26
1 207 834 26
0 208 837 26
1 209 840 27
1 210 844 27
2 211 846 28
3 212 853 29
2 213 856 29
1 214 860 29
1 215 864 29
0 216 865 29
1 217 870 30
0 218 872 30
0 219 882 31
0 220 885 31
0 221 886 31
1 222 889 32
1 223 902 33
1 224 913 33
1 225 914 33
1 226 915 33
1 227 916 33
2 228 926 34
2 229 930 34
2 230 931 34
2 231 933 34
3 232 938 35
2 233 943 35
2 234 945 35
2 235 950 35
2 236 953 35
2 237 958 35
1 238 961 35
1 239 965 35
2 240 970 36
1 241 973 36
1 242 981 36
1 243 983 36
1 244 985 36
1 245 991 36
2 246 997 37
1 247 999 37
