#data counter step time
0 1 0 0
1 2 1 0
0 3 2 0
1 4 5 0
0 5 6 0
1 6 9 0
2 7 10 0
1 8 11 0
2 9 12 0
3 10 13 0
2 11 14 0
1 12 18 0
0 13 19 0
1 14 21 0
2 15 22 0
3 16 23 0
2 17 25 0
3 18 26 0
2 19 30 0
1 20 32 0
2 21 33 0
1 22 36 0
2 23 39 0
3 24 41 0
4 25 42 0
5 26 43 0
4 27 44 0
3 28 46 0
4 29 48 0
3 30 51 0
2 31 54 0
1 32 56 0
0 33 58 0
1 34 63 1
2 35 64 1
1 36 65 1
0 37 69 1
1 38 73 2
2 39 74 2
3 40 75 2
4 41 76 2
3 42 77 2
4 43 78 2
5 44 79 2
4 45 80 2
3 46 82 2
4 47 83 2
5 48 84 2
6 49 85 2
7 50 86 2
8 51 88 2
7 52 90 3
8 53 91 3
7 54 94 3
8 55 96 3
7 56 98 3
6 57 101 3
7 58 105 3
8 59 106 3
7 60 108 3
8 61 109 3
9 62 110 3
8 63 113 3
7 64 115 3
6 65 117 3
5 66 121 3
4 67 126 3
3 68 128 3
2 69 130 3
1 70 133 3
0 71 134 3
1 72 141 4
2 73 142 4
1 74 143 4
0 75 146 4
1 76 149 5
2 77 150 5
3 78 151 5
4 79 152 5
5 80 153 5
6 81 154 5
5 82 155 5
4 83 156 5
3 84 158 5
4 85 159 5
5 86 161 5
6 87 163 5
5 88 164 5
6 89 166 5
7 90 167 5
8 91 168 5
7 92 170 5
6 93 173 5
5 94 178 5
4 95 182 5
3 96 183 5
2 97 185 5
1 98 189 5
0 99 191 5
1 100 197 6
0 101 198 6
1 102 199 6
0 103 200 6
1 104 203 6
2 105 204 6
3 106 205 6
2 107 207 6
3 108 208 6
2 109 210 6
1 110 214 6
0 111 216 6
1 112 221 7
0 113 222 7
1 114 225 7
2 115 226 7
1 116 227 7
2 117 229 7
3 118 230 7
2 119 231 7
1 120 235 7
0 121 236 7
1 122 238 7
0 123 240 7
1 124 245 8
2 125 246 8
3 126 247 8
2 127 248 8
3 128 249 8
2 129 250 8
1 130 253 8
2 131 254 8
3 132 255 8
4 133 256 8
5 134 257 8
6 135 258 8
7 136 259 8
8 137 260 8
9 138 262 9
8 139 263 9
9 140 266 9
8 141 267 9
9 142 270 9
8 143 272 9
7 144 274 9
6 145 276 9
5 146 278 9
6 147 279 9
7 148 280 9
6 149 283 9
5 150 289 9
4 151 292 9
3 152 295 9
4 153 296 10
5 154 299 10
6 155 300 10
5 156 303 10
4 157 304 10
3 158 306 10
2 159 309 10
1 160 312 10
0 161 315 10
1 162 319 11
0 163 320 11
1 164 323 11
2 165 325 11
3 166 326 11
4 167 327 11
5 168 328 11
6 169 329 11
5 170 331 11
6 171 333 11
7 172 334 11
8 173 335 11
9 174 336 11
8 175 338 11
9 176 339 11
8 177 340 11
9 178 344 12
10 179 345 12
9 180 346 12
10 181 348 12
9 182 351 12
10 183 354 12
9 184 355 12
8 185 357 12
9 186 359 12
8 187 360 12
7 188 362 12
8 189 364 12
7 190 365 12
8 191 366 12
7 192 369 12
6 193 374 12
7 194 375 12
8 195 376 12
7 196 378 13
8 197 379 13
9 198 383 13
8 199 385 13
7 200 388 13
6 201 389 13
5 202 392 13
6 203 394 14
7 204 398 14
6 205 399 14
5 206 400 14
4 207 403 14
3 208 405 14
2 209 408 14
1 210 410 14
2 211 412 14
3 212 413 14
2 213 414 14
3 214 417 14
2 215 418 14
3 216 423 14
4 217 424 14
5 218 425 14
6 219 426 14
7 220 427 14
8 221 428 14
9 222 430 15
8 223 431 15
9 224 433 15
8 225 434 15
9 226 437 15
10 227 438 15
9 228 439 15
8 229 441 15
9 230 443 15
10 231 444 15
9 232 445 15
8 233 447 15
9 234 452 15
8 235 454 15
9 236 457 15
10 237 459 15
9 238 460 15
8 239 462 15
9 240 465 15
8 241 466 15
7 242 468 15
8 243 469 15
7 244 471 15
8 245 473 15
9 246 475 15
8 247 476 15
9 248 478 15
8 249 480 15
7 250 482 15
8 251 486 15
7 252 487 15
8 253 490 15
7 254 491 15
6 255 493 15
7 256 501 16
8 257 502 16
7 258 503 16
6 259 506 16
7 260 507 16
6 261 510 16
5 262 513 16
4 263 514 16
5 264 517 16
4 265 518 16
5 266 523 16
6 267 524 16
7 268 525 16
8 269 526 16
7 270 527 16
8 271 530 16
9 272 531 16
8 273 532 16
7 274 535 16
8 275 536 16
9 276 539 16
8 277 540 16
7 278 543 16
8 279 544 16
7 280 546 16
8 281 549 16
9 282 550 16
8 283 551 16
7 284 554 17
8 285 558 17
9 286 559 17
8 287 560 17
7 288 562 17
8 289 563 17
7 290 566 17
8 291 568 17
7 292 569 17
8 293 572 17
9 294 574 17
8 295 575 17
7 296 579 17
8 297 580 17
7 298 582 18
8 299 583 18
9 300 587 18
10 301 589 18
9 302 590 18
8 303 591 18
