#data counter step time
2 1 0 0
1 2 2 0
2 3 3 0
1 4 6 0
2 5 7 0
1 6 11 0
0 7 14 0
1 8 15 0
2 9 17 0
1 10 18 0
0 11 19 0
1 12 24 0
0 13 25 0
1 14 27 0
0 15 30 0
1 16 31 0
0 17 32 0
1 18 35 0
0 19 36 0
1 20 38 0
0 21 44 0
1 22 45 0
0 23 46 0
1 24 49 0
0 25 51 0
1 26 52 0
0 27 54 0
1 28 55 0
0 29 56 0
1 30 57 0
0 31 58 0
1 32 60 0
0 33 65 1
1 34 66 1
2 35 68 1
1 36 69 1
2 37 70 1
1 38 77 2
0 39 80 2
1 40 81 2
0 41 82 2
1 42 89 3
0 43 90 3
1 44 93 3
0 45 94 3
1 46 97 3
0 47 98 3
1 48 100 3
0 49 101 3
1 50 102 3
2 51 107 3
1 52 108 3
2 53 112 3
1 54 113 3
2 55 114 3
1 56 115 3
2 57 116 3
1 58 117 3
2 59 118 3
1 60 121 3
2 61 124 3
1 62 126 3
2 63 127 3
1 64 128 3
2 65 129 3
1 66 130 3
2 67 131 3
1 68 133 3
0 69 134 3
1 70 135 3
2 71 136 3
1 72 143 4
2 73 144 4
1 74 146 4
2 75 147 4
1 76 155 5
0 77 156 5
1 78 157 5
0 79 158 5
1 80 160 5
2 81 162 5
1 82 164 5
2 83 165 5
1 84 170 5
2 85 171 5
1 86 173 5
2 87 174 5
1 88 178 5
2 89 179 5
1 90 182 5
0 91 183 5
1 92 184 5
0 93 185 5
1 94 186 5
2 95 187 5
1 96 189 5
2 97 190 5
1 98 191 5
2 99 192 5
1 100 198 6
0 101 200 6
1 102 201 6
2 103 202 6
1 104 207 6
0 105 210 6
1 106 211 6
2 107 212 6
1 108 214 6
2 109 215 6
1 110 216 6
2 111 218 6
1 112 222 7
2 113 223 7
1 114 227 7
2 115 228 7
1 116 231 7
2 117 232 7
1 118 235 7
0 119 236 7
1 120 237 7
2 121 239 7
1 122 240 7
2 123 243 7
1 124 248 8
0 125 250 8
1 126 251 8
0 127 253 8
1 128 261 9
0 129 263 9
1 130 264 9
0 131 267 9
1 132 269 9
0 133 272 9
1 134 273 9
0 135 274 9
1 136 275 9
0 137 276 9
1 138 277 9
0 139 278 9
1 140 281 9
0 141 283 9
1 142 284 9
0 143 289 9
1 144 290 9
0 145 292 9
1 146 293 9
0 147 295 9
1 148 297 10
2 149 298 10
1 150 303 10
0 151 304 10
1 152 305 10
0 153 306 10
1 154 308 10
0 155 309 10
1 156 311 10
0 157 312 10
1 158 313 10
0 159 315 10
1 160 316 10
0 161 320 11
1 162 321 11
2 163 324 11
1 164 331 11
2 165 332 11
1 166 338 11
0 167 340 11
1 168 341 12
2 169 343 12
1 170 346 12
2 171 347 12
1 172 351 12
2 173 352 12
1 174 355 12
2 175 356 12
1 176 357 12
2 177 358 12
1 178 360 12
2 179 361 12
1 180 362 12
0 181 365 12
1 182 368 12
0 183 369 12
1 184 372 12
0 185 374 12
1 186 377 13
0 187 378 13
1 188 381 13
2 189 382 13
1 190 385 13
2 191 386 13
1 192 388 13
0 193 389 13
1 194 390 13
0 195 392 13
1 196 395 14
2 197 396 14
1 198 399 14
0 199 400 14
1 200 402 14
0 201 403 14
1 202 404 14
0 203 405 14
1 204 407 14
0 205 408 14
1 206 409 14
0 207 410 14
1 208 411 14
0 209 414 14
1 210 416 14
0 211 418 14
1 212 429 15
0 213 431 15
1 214 432 15
0 215 434 15
1 216 435 15
2 217 436 15
1 218 439 15
2 219 440 15
1 220 441 15
2 221 442 15
1 222 445 15
0 223 447 15
1 224 451 15
2 225 453 15
1 226 454 15
2 227 455 15
1 228 460 15
2 229 461 15
1 230 462 15
0 231 466 15
1 232 467 15
0 233 468 15
1 234 470 15
0 235 471 15
1 236 474 15
0 237 476 15
1 238 477 15
0 239 480 15
1 240 481 15
0 241 482 15
1 242 484 15
0 243 487 15
1 244 489 15
0 245 491 15
1 246 492 15
0 247 493 15
1 248 499 16
2 249 500 16
1 250 503 16
0 251 506 16
1 252 508 16
0 253 510 16
1 254 511 16
2 255 512 16
1 256 513 16
0 257 514 16
1 258 516 16
0 259 518 16
1 260 519 16
0 261 527 16
1 262 528 16
0 263 532 16
1 264 533 16
0 265 535 16
1 266 537 16
0 267 540 16
1 268 541 16
0 269 543 16
1 270 545 16
0 271 546 16
1 272 547 16
0 273 551 16
1 274 553 17
0 275 554 17
1 276 556 17
0 277 560 17
1 278 561 17
0 279 562 17
1 280 565 17
0 281 566 17
1 282 567 17
0 283 569 17
1 284 573 17
0 285 575 17
1 286 577 17
0 287 579 17
1 288 581 18
0 289 582 18
1 290 584 18
2 291 586 18
1 292 590 18
0 293 591 18
1 294 592 18
0 295 593 18
1 296 594 18
0 297 597 18
1 298 601 18
0 299 602 18
1 300 603 18
2 301 604 18
1 302 605 18
2 303 606 18
1 304 607 18
0 305 612 18
1 306 613 18
0 307 614 18
1 308 617 18
0 309 618 18
1 310 620 19
2 311 621 19
1 312 624 19
0 313 626 19
1 314 628 19
0 315 631 19
1 316 634 19
0 317 635 19
1 318 638 19
0 319 641 19
1 320 643 19
0 321 644 19
1 322 645 19
0 323 647 19
1 324 650 19
0 325 651 19
1 326 657 20
0 327 658 20
1 328 660 20
0 329 663 20
1 330 665 20
0 331 668 20
1 332 669 20
0 333 671 20
1 334 672 20
0 335 673 20
1 336 675 20
0 337 676 20
1 338 678 21
2 339 679 21
1 340 682 21
0 341 683 21
1 342 685 21
2 343 686 21
1 344 689 21
0 345 690 21
1 346 691 21
0 347 692 21
1 348 694 21
0 349 696 21
1 350 697 21
2 351 698 21
1 352 705 22
0 353 709 22
1 354 710 22
2 355 711 22
1 356 713 22
0 357 715 22
1 358 716 22
0 359 717 22
1 360 719 22
0 361 720 22
1 362 721 22
2 363 722 22
1 364 726 22
2 365 727 22
1 366 730 23
2 367 731 23
1 368 733 23
2 369 735 23
1 370 740 23
0 371 742 23
1 372 743 23
0 373 745 23
1 374 748 23
0 375 749 23
1 376 750 23
0 377 751 23
1 378 755 23
0 379 757 23
1 380 758 23
0 381 759 23
1 382 765 24
2 383 768 24
1 384 772 24
2 385 773 24
1 386 779 24
0 387 780 24
1 388 781 24
2 389 783 24
1 390 787 24
0 391 788 24
1 392 789 24
0 393 792 24
1 394 793 24
0 395 795 24
1 396 797 24
0 397 798 24
1 398 801 25
0 399 803 25
1 400 805 25
0 401 807 25
1 402 809 25
0 403 811 25
1 404 812 25
0 405 813 25
1 406 815 25
0 407 817 25
1 408 820 25
0 409 823 25
1 410 825 25
0 411 827 25
1 412 828 25
0 413 832 25
1 414 833 25
0 415 836 25
1 416 837 25
0 417 838 25
1 418 839 25
0 419 841 25
1 420 842 25
0 421 844 25
1 422 847 25
0 423 849 25
1 424 850 25
0 425 852 25
1 426 853 25
0 427 854 25
1 428 856 25
0 429 858 25
1 430 859 25
0 431 861 25
1 432 862 25
0 433 864 25
1 434 865 25
0 435 871 26
1 436 873 26
0 437 876 26
1 438 877 26
0 439 882 26
1 440 885 26
0 441 887 26
1 442 889 26
0 443 890 26
1 444 893 26
0 445 895 26
1 446 896 26
0 447 897 26
1 448 900 26
0 449 902 26
1 450 904 26
0 451 905 26
1 452 906 26
0 453 907 26
1 454 913 27
2 455 914 27
1 456 915 27
0 457 916 27
1 458 918 27
2 459 923 27
1 460 927 27
2 461 928 27
1 462 929 27
0 463 931 27
1 464 932 27
0 465 933 27
1 466 935 27
2 467 936 27
1 468 939 27
2 469 940 27
1 470 941 27
0 471 942 27
1 472 943 27
2 473 944 27
1 474 946 27
0 475 948 27
1 476 950 27
2 477 952 27
1 478 953 27
2 479 955 27
1 480 958 28
2 481 959 28
1 482 962 29
2 483 965 29
1 484 969 29
2 485 970 29
1 486 971 29
2 487 972 29
1 488 973 29
0 489 974 29
1 490 976 29
2 491 978 29
1 492 982 29
0 493 984 29
1 494 986 29
0 495 987 29
1 496 989 29
2 497 991 30
1 498 994 30
2 499 995 30
1 500 998 31
2 501 999 31
2 502 1000 31
