#data counter step time
2 1 0 0
1 2 3 0
0 3 4 0
1 4 5 0
0 5 8 0
1 6 9 0
0 7 12 1
1 8 14 1
0 9 15 1
1 10 16 1
0 11 21 1
1 12 22 1
0 13 24 1
1 14 26 1
0 15 27 1
1 16 29 1
2 17 31 2
1 18 35 2
0 19 36 2
1 20 37 2
2 21 40 2
1 22 43 2
0 23 45 2
1 24 47 2
2 25 49 2
1 26 51 2
0 27 52 2
1 28 53 2
2 29 54 2
1 30 55 2
2 31 56 2
1 32 62 2
0 33 63 2
1 34 64 2
0 35 68 2
1 36 71 2
0 37 72 2
1 38 73 2
0 39 75 2
1 40 78 2
0 41 80 2
1 42 81 2
0 43 83 2
1 44 87 2
0 45 88 2
1 46 89 2
0 47 91 2
1 48 93 2
0 49 94 2
1 50 95 2
0 51 96 2
1 52 98 2
2 53 103 3
1 54 106 3
2 55 107 3
1 56 110 4
2 57 111 4
1 58 114 4
2 59 116 4
1 60 117 4
0 61 119 4
1 62 121 4
2 63 122 4
1 64 124 4
0 65 125 4
1 66 128 4
2 67 132 5
1 68 134 5
2 69 135 5
1 70 137 5
0 71 140 5
1 72 143 5
2 73 144 5
1 74 145 5
2 75 146 5
1 76 148 5
0 77 151 5
1 78 152 5
2 79 155 6
1 80 158 6
2 81 160 7
1 82 163 7
0 83 164 7
1 84 165 7
2 85 166 7
1 86 170 8
2 87 172 8
1 88 175 8
2 89 176 8
1 90 180 8
0 91 181 8
1 92 184 8
2 93 188 8
1 94 189 8
0 95 191 8
1 96 192 8
0 97 193 8
1 98 194 8
0 99 195 8
1 100 198 8
0 101 200 8
1 102 201 8
2 103 203 8
1 104 207 9
0 105 209 9
1 106 210 9
2 107 212 9
1 108 213 9
0 109 216 9
1 110 217 9
0 111 222 9
1 112 223 9
0 113 224 9
1 114 233 10
2 115 234 10
1 116 237 10
0 117 240 10
1 118 241 10
0 119 242 10
1 120 245 10
0 121 247 10
1 122 249 10
2 123 251 10
1 124 252 10
0 125 253 10
1 126 254 10
0 127 257 10
1 128 258 10
0 129 259 10
1 130 261 10
0 131 263 10
1 132 265 10
0 133 266 10
1 134 268 10
0 135 269 10
1 136 270 10
0 137 271 10
1 138 273 10
0 139 276 10
1 140 277 10
0 141 283 11
1 142 284 11
0 143 285 11
1 144 289 11
0 145 292 11
1 146 296 11
2 147 297 11
1 148 300 11
0 149 301 11
1 150 302 11
0 151 303 11
1 152 305 12
2 153 306 12
1 154 307 12
2 155 309 12
1 156 313 12
2 157 316 12
1 158 317 12
2 159 319 12
1 160 320 12
0 161 321 12
1 162 322 12
2 163 323 12
1 164 326 12
2 165 327 12
1 166 328 12
2 167 332 12
1 168 334 12
0 169 337 12
1 170 338 12
0 171 340 12
1 172 343 12
2 173 344 12
1 174 345 12
0 175 348 12
1 176 352 12
0 177 353 12
1 178 354 12
0 179 358 12
1 180 361 12
2 181 362 12
1 182 363 12
0 183 366 12
1 184 367 12
0 185 369 12
1 186 370 12
0 187 372 12
1 188 373 12
2 189 375 13
1 190 377 13
2 191 378 13
1 192 381 13
2 193 385 13
1 194 386 13
