#data counter step time
0 1 0 0
1 2 1 0
2 3 2 0
3 4 3 0
2 5 4 0
3 6 5 0
4 7 7 0
5 8 8 0
4 9 9 0
3 10 13 0
2 11 15 0
1 12 19 0
0 13 21 0
1 14 25 1
0 15 26 1
1 16 27 1
0 17 29 1
1 18 31 1
2 19 33 1
3 20 34 1
4 21 35 1
3 22 36 1
4 23 38 1
3 24 39 1
4 25 40 1
3 26 42 1
4 27 43 1
5 28 44 1
4 29 47 1
5 30 49 1
4 31 52 1
3 32 54 1
2 33 57 1
1 34 61 1
0 35 64 2
1 36 65 2
2 37 66 2
3 38 67 2
2 39 71 2
1 40 72 2
0 41 75 2
1 42 81 3
2 43 82 3
3 44 83 3
2 45 84 3
3 46 85 3
4 47 88 3
3 48 89 3
4 49 90 3
5 50 91 3
6 51 92 3
7 52 93 3
6 53 94 3
5 54 98 3
6 55 100 3
7 56 101 3
6 57 102 3
5 58 104 3
4 59 107 3
5 60 109 3
4 61 110 3
3 62 114 3
4 63 118 4
3 64 119 4
4 65 124 4
3 66 125 4
4 67 126 4
3 68 128 4
4 69 131 4
3 70 132 4
2 71 133 4
3 72 134 4
2 73 137 4
3 74 140 4
2 75 144 4
1 76 145 4
2 77 146 4
3 78 148 4
2 79 149 4
3 80 150 4
4 81 152 4
5 82 153 4
6 83 156 4
7 84 159 4
8 85 160 4
7 86 161 4
8 87 163 4
7 88 164 4
6 89 168 4
5 90 171 4
4 91 172 4
3 92 174 4
2 93 177 4
1 94 179 4
0 95 184 4
1 96 189 6
2 97 190 6
1 98 191 6
0 99 193 6
1 100 194 6
2 101 195 6
1 102 197 6
2 103 198 6
3 104 201 6
2 105 202 6
3 106 204 6
4 107 206 6
3 108 207 6
2 109 210 6
1 110 213 6
0 111 215 7
1 112 218 7
0 113 219 7
1 114 220 7
0 115 222 7
1 116 229 8
2 117 230 8
1 118 231 8
0 119 232 8
1 120 237 9
2 121 238 9
3 122 239 9
2 123 240 9
3 124 241 9
4 125 242 9
3 126 243 9
4 127 244 9
5 128 245 9
6 129 246 9
7 130 248 9
8 131 250 9
7 132 252 9
8 133 254 9
7 134 255 9
8 135 256 9
9 136 259 9
8 137 260 9
9 138 262 9
8 139 263 9
7 140 266 9
8 141 267 9
7 142 269 9
8 143 270 9
9 144 274 10
8 145 275 10
9 146 278 10
8 147 279 10
9 148 283 10
8 149 284 10
7 150 285 10
8 151 286 10
9 152 291 10
8 153 292 10
7 154 293 10
8 155 296 10
9 156 300 11
8 157 301 11
7 158 305 11
6 159 306 11
5 160 308 11
6 161 309 11
7 162 310 11
8 163 311 11
9 164 313 11
8 165 317 11
7 166 321 11
6 167 322 11
5 168 325 11
4 169 329 11
3 170 331 11
2 171 332 11
1 172 336 11
0 173 341 11
1 174 344 12
0 175 345 12
1 176 347 12
0 177 350 12
1 178 351 12
2 179 353 12
1 180 355 12
2 181 356 12
3 182 358 12
4 183 359 12
5 184 361 12
4 185 362 12
5 186 363 12
4 187 364 12
5 188 365 12
6 189 368 12
7 190 369 12
6 191 370 12
7 192 372 12
8 193 373 12
9 194 374 12
8 195 375 12
9 196 378 12
10 197 382 12
9 198 383 12
8 199 384 12
9 200 386 12
8 201 387 12
7 202 390 12
8 203 391 12
9 204 394 12
10 205 395 12
9 206 396 12
8 207 397 12
7 208 400 12
6 209 402 12
5 210 406 12
4 211 409 12
3 212 415 12
2 213 419 12
1 214 420 12
0 215 425 12
1 216 429 13
2 217 430 13
1 218 431 13
0 219 433 13
1 220 437 14
2 221 438 14
1 222 439 14
0 223 441 14
1 224 445 14
2 225 446 14
1 226 447 14
0 227 450 14
1 228 453 14
2 229 454 14
3 230 455 14
4 231 456 14
3 232 457 14
4 233 458 14
3 234 459 14
4 235 460 14
5 236 461 14
6 237 462 14
7 238 463 14
6 239 465 14
7 240 466 14
8 241 467 14
9 242 470 14
8 243 472 14
7 244 474 14
6 245 476 14
5 246 479 14
4 247 481 14
3 248 484 14
2 249 486 14
1 250 493 14
0 251 496 15
1 252 500 15
0 253 502 15
1 254 504 15
0 255 505 15
1 256 509 16
0 257 510 16
1 258 512 16
0 259 514 16
1 260 515 16
0 261 516 16
1 262 517 16
2 263 518 16
1 264 520 16
2 265 521 16
3 266 523 16
4 267 524 16
5 268 526 16
4 269 527 16
5 270 529 16
6 271 530 16
5 272 531 16
6 273 532 16
7 274 533 16
8 275 536 16
9 276 540 17
8 277 541 17
7 278 542 17
8 279 545 17
7 280 546 17
8 281 549 17
7 282 551 17
8 283 552 17
7 284 553 17
8 285 555 17
7 286 557 17
8 287 558 17
9 288 564 17
8 289 566 17
7 290 569 17
6 291 570 17
7 292 571 17
8 293 572 17
7 294 575 17
8 295 576 17
9 296 579 17
8 297 580 17
9 298 582 17
10 299 586 17
9 300 587 17
10 301 589 17
9 302 590 17
8 303 592 17
