#data counter step time
0 1 0 0
1 2 2 0
2 3 5 0
1 4 13 1
0 5 15 1
1 6 17 1
2 7 19 1
1 8 20 1
0 9 22 1
1 10 23 1
2 11 26 1
1 12 27 1
0 13 29 1
1 14 34 1
2 15 35 1
1 16 36 1
0 17 38 1
1 18 39 1
2 19 40 1
1 20 41 1
2 21 42 1
1 22 43 1
2 23 45 1
1 24 49 2
2 25 50 2
1 26 51 2
2 27 52 2
1 28 54 2
2 29 56 2
1 30 58 2
0 31 60 2
1 32 62 2
2 33 66 3
1 34 68 3
2 35 70 3
1 36 71 3
2 37 74 3
1 38 76 3
2 39 77 3
1 40 81 3
0 41 82 3
1 42 87 3
0 43 89 3
1 44 92 3
0 45 94 3
1 46 96 3
0 47 98 3
1 48 99 3
0 49 100 3
1 50 102 3
0 51 103 3
1 52 106 3
2 53 109 3
1 54 111 3
0 55 113 3
1 56 114 3
0 57 115 3
1 58 116 3
0 59 117 3
1 60 122 3
2 61 123 3
1 62 124 3
0 63 126 3
1 64 129 3
2 65 131 3
1 66 132 3
2 67 133 3
1 68 137 3
2 69 139 3
1 70 141 3
0 71 143 3
1 72 144 3
0 73 147 3
1 74 151 3
0 75 154 3
1 76 155 3
2 77 157 3
1 78 158 3
2 79 159 3
1 80 161 3
2 81 164 3
1 82 165 3
2 83 170 3
1 84 171 3
2 85 174 3
1 86 176 3
2 87 178 3
1 88 181 4
2 89 184 4
1 90 185 4
2 91 187 4
1 92 188 5
2 93 190 5
1 94 192 5
2 95 194 5
1 96 195 5
0 97 196 5
1 98 198 5
2 99 199 5
1 100 200 5
2 101 201 5
1 102 202 5
0 103 206 5
1 104 207 5
0 105 209 5
1 106 211 5
2 107 212 5
1 108 213 5
0 109 215 6
1 110 218 6
0 111 219 6
1 112 223 6
2 113 224 6
1 114 225 6
2 115 227 6
1 116 229 6
0 117 230 6
1 118 234 6
0 119 235 6
1 120 236 6
0 121 237 6
1 122 242 6
0 123 245 6
1 124 246 6
0 125 247 6
1 126 248 6
0 127 251 6
1 128 254 7
2 129 256 7
1 130 260 8
2 131 261 8
1 132 262 8
0 133 268 8
1 134 270 8
2 135 271 8
1 136 272 8
2 137 274 8
1 138 276 8
0 139 277 8
1 140 282 8
2 141 283 8
1 142 284 8
0 143 286 8
1 144 287 8
0 145 288 8
1 146 289 8
0 147 290 8
1 148 291 8
0 149 292 8
1 150 298 9
0 151 299 9
1 152 303 9
2 153 304 9
1 154 305 9
2 155 308 9
1 156 311 9
2 157 312 9
1 158 313 9
2 159 314 9
1 160 316 9
2 161 320 9
1 162 324 9
2 163 325 9
1 164 329 9
2 165 330 9
1 166 335 10
0 167 337 10
1 168 339 10
0 169 340 10
1 170 342 10
2 171 344 10
1 172 345 10
0 173 346 10
1 174 351 10
0 175 352 10
1 176 354 10
2 177 355 10
1 178 356 10
0 179 357 10
1 180 360 10
2 181 361 10
1 182 362 10
2 183 363 10
1 184 364 10
0 185 371 11
1 186 375 11
0 187 376 11
1 188 377 11
2 189 381 11
1 190 382 11
0 191 383 11
1 192 384 11
2 193 388 11
1 194 392 11
2 195 396 11
1 196 397 11
2 197 398 11
1 198 401 11
2 199 404 11
1 200 405 12
2 201 407 12
1 202 409 12
2 203 410 12
1 204 411 12
0 205 413 12
1 206 417 12
2 207 419 12
1 208 421 12
0 209 423 12
1 210 424 12
2 211 425 12
1 212 427 12
2 213 430 12
1 214 431 12
2 215 432 12
1 216 434 12
2 217 435 12
1 218 437 12
2 219 440 12
1 220 445 12
2 221 447 12
1 222 449 13
2 223 452 13
1 224 453 14
2 225 456 14
1 226 457 14
2 227 459 14
1 228 460 14
2 229 461 14
1 230 462 14
2 231 463 14
1 232 464 14
2 233 465 14
1 234 468 14
2 235 469 14
1 236 470 14
2 237 474 14
1 238 475 14
2 239 477 14
1 240 479 15
2 241 480 15
1 242 482 15
0 243 483 15
1 244 486 15
0 245 487 15
1 246 490 16
0 247 491 16
1 248 494 17
0 249 495 17
1 250 498 17
2 251 500 17
1 252 502 17
2 253 506 17
1 254 508 17
2 255 509 17
1 256 510 17
0 257 511 17
1 258 515 17
0 259 516 17
1 260 517 17
0 261 519 17
1 262 522 18
0 263 523 18
1 264 525 18
2 265 531 18
1 266 535 18
2 267 537 18
1 268 539 18
2 269 541 18
1 270 542 18
2 271 543 18
1 272 546 19
2 273 548 19
1 274 550 19
2 275 552 19
1 276 554 19
2 277 556 19
1 278 557 19
0 279 558 19
1 280 560 19
0 281 562 19
1 282 563 19
2 283 566 19
1 284 567 19
2 285 568 19
1 286 569 19
2 287 571 19
1 288 573 19
2 289 576 20
1 290 577 20
0 291 578 20
1 292 583 21
0 293 584 21
1 294 586 21
0 295 587 21
1 296 590 21
2 297 593 21
1 298 594 21
0 299 595 21
1 300 597 21
0 301 598 21
1 302 603 22
2 303 604 22
1 304 605 22
0 305 606 22
1 306 610 23
2 307 615 23
1 308 616 24
2 309 617 24
1 310 619 24
0 311 620 24
1 312 622 24
2 313 624 24
1 314 625 24
2 315 628 24
1 316 629 24
2 317 630 24
1 318 635 24
2 319 640 24
1 320 645 24
2 321 648 24
1 322 649 24
2 323 650 24
1 324 651 24
2 325 652 24
1 326 655 24
2 327 657 24
1 328 658 24
2 329 659 24
1 330 660 24
2 331 664 24
1 332 665 24
2 333 667 24
1 334 668 24
2 335 669 24
1 336 672 25
2 337 673 25
1 338 675 25
2 339 681 25
1 340 683 25
