,epoch,step,reward,done,action,evaluation_state
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.0,0.0,False,1.0,False
2,0.0,2.0,0.0,False,2.0,False
3,0.0,3.0,0.0,True,2.0,False
4,1.0,0.0,0.0,False,2.0,False
5,1.0,1.0,0.0,False,0.0,False
6,1.0,2.0,0.0,False,0.0,False
7,1.0,3.0,0.0,False,1.0,False
8,1.0,4.0,0.0,False,0.0,False
9,1.0,5.0,0.0,False,0.0,False
10,1.0,6.0,1.0,False,2.0,False
11,1.0,7.0,0.0,True,1.0,False
12,2.0,0.0,0.0,False,1.0,False
13,2.0,1.0,0.0,False,0.0,False
14,2.0,2.0,0.0,False,2.0,False
15,2.0,3.0,0.0,False,0.0,False
16,2.0,4.0,0.0,False,1.0,False
17,2.0,5.0,0.0,True,1.0,False
18,3.0,0.0,0.0,False,1.0,False
19,3.0,1.0,0.0,False,2.0,False
20,3.0,2.0,0.0,False,0.0,False
21,3.0,3.0,0.0,False,0.0,False
22,3.0,4.0,0.0,False,1.0,False
23,3.0,5.0,0.0,True,1.0,False
24,4.0,0.0,0.0,False,0.0,False
25,4.0,1.0,0.0,False,1.0,False
26,4.0,2.0,0.0,False,2.0,False
27,4.0,3.0,0.0,False,2.0,False
28,4.0,4.0,0.0,False,1.0,False
29,4.0,5.0,0.0,False,0.0,False
30,4.0,6.0,1.0,False,0.0,False
31,4.0,7.0,1.0,False,2.0,False
32,4.0,8.0,0.0,True,2.0,False
33,5.0,0.0,0.0,False,0.0,False
34,5.0,1.0,0.0,False,0.0,False
35,5.0,2.0,0.0,False,0.0,False
36,5.0,3.0,0.0,False,0.0,False
37,5.0,4.0,0.0,False,2.0,False
38,5.0,5.0,0.0,True,0.0,False
39,6.0,0.0,0.0,False,2.0,False
40,6.0,1.0,0.0,False,2.0,False
41,6.0,2.0,0.0,False,2.0,False
42,6.0,3.0,0.0,False,2.0,False
43,6.0,4.0,0.0,False,0.0,False
44,6.0,5.0,0.0,False,1.0,False
45,6.0,6.0,1.0,False,1.0,False
46,6.0,7.0,0.0,True,0.0,False
47,7.0,0.0,0.0,False,2.0,False
48,7.0,1.0,0.0,False,1.0,False
49,7.0,2.0,0.0,False,2.0,False
50,7.0,3.0,0.0,False,0.0,False
51,7.0,4.0,0.0,False,1.0,False
52,7.0,5.0,0.0,False,2.0,False
53,7.0,6.0,1.0,False,1.0,False
54,7.0,7.0,1.0,False,0.0,False
55,7.0,8.0,1.0,False,1.0,False
56,7.0,9.0,1.0,False,2.0,False
